dia,VIX,dia_fwd_25,VIX_fwd_25,VIX_change_pts,VIX_change_pct,PnL_fwd_pct_25,PnL_fwd_pts_25,tipo
2022-07-22,23.03,2023-06-07,13.94,-9.090000000000002,-39.47025618758142,-180.16,-11.35,DESASTRE
2022-12-12,25.0,2023-09-12,14.23,-10.77,-43.08,-79.72,-20.25,DESASTRE
2022-12-05,20.75,2023-09-06,14.45,-6.300000000000001,-30.361445783132535,-74.41,-12.65,DESASTRE
2022-11-17,23.93,2023-08-28,15.08,-8.85,-36.982866694525704,-97.18,-25.85,DESASTRE
2022-11-30,20.58,2023-06-27,13.74,-6.839999999999998,-33.236151603498534,-495.67,-105.825,DESASTRE
2020-08-28,22.96,2020-11-10,24.8,1.8399999999999999,8.013937282229964,-47.06,-6.0,DESASTRE
2022-12-21,20.07,2023-06-05,14.73,-5.34,-26.606875934230196,-2630.77,-102.6,DESASTRE
2022-09-16,26.3,2023-05-09,17.71,-8.59,-32.661596958174904,-411.6,-120.6,DESASTRE
2022-11-08,25.54,2023-06-13,14.61,-10.93,-42.7956147220047,-1244.34,-159.275,DESASTRE
2022-11-28,22.21,2024-01-11,12.44,-9.770000000000001,-43.98919405673121,-248.19,-54.85,DESASTRE
2022-12-16,22.62,2023-05-12,17.03,-5.59,-24.712643678160916,-822.37,-93.75,DESASTRE
2022-12-16,22.62,2023-05-01,16.08,-6.540000000000003,-28.91246684350134,-497.55,-81.1,DESASTRE
2022-11-29,21.89,2023-09-01,13.09,-8.8,-40.20100502512563,-267.43,-82.1,DESASTRE
2023-02-22,22.29,2023-06-08,13.65,-8.639999999999999,-38.761776581426645,-172.39,-23.1,DESASTRE
2022-12-19,22.42,2023-05-01,16.08,-6.340000000000003,-28.278322925958975,-988.65,-91.45,DESASTRE
2022-12-19,22.42,2024-01-26,13.26,-9.160000000000002,-40.856378233719894,-69.66,-19.4,DESASTRE
2022-12-16,22.62,2024-01-26,13.26,-9.360000000000001,-41.379310344827594,-43.84,-14.4,DESASTRE
2022-08-26,25.56,2023-04-26,18.84,-6.719999999999999,-26.29107981220657,-398.04,-91.55,DESASTRE
2022-09-08,23.61,2023-05-03,18.34,-5.27,-22.321050402371874,-396.82,-99.8,DESASTRE
2022-11-02,25.86,2023-06-08,13.65,-12.209999999999999,-47.21577726218097,-485.74,-151.55,DESASTRE
2022-09-16,26.3,2023-05-09,17.71,-8.59,-32.661596958174904,-328.82,-115.25,DESASTRE
