variable,importance
PnL_fwd_pts_25,0.1873589811552705
PnL_deterioration_25,0.12060155088755933
PnLDV_fwd_25,0.08483425844072283
SPX_chg_pct_25,0.05580582260698546
iv_spread_k2_k3,0.055494083397208134
theta_delta_ratio,0.05343101546089974
PnLDV_deterioration_25,0.04912419821629073
theta_k1,0.049044483383148714
theta_k2,0.04017671814030126
theta_k3,0.02811277994065311
theta_total,0.026956557148297613
PnLDV,0.023526048428649027
iv_skew,0.022908425225141492
PnLDV_x_BQI,0.020350888876346687
danger_score,0.020052769772231364
Ears_total,0.01969248646115183
EarR,0.016600771394972774
BQI_per_net_credit,0.013282814975686986
Ears_asymmetry,0.011927093438646227
UEL_inf_USD,0.011425020543387426
PnLDV_per_credit,0.011215565423725767
delta_total,0.011115384169890564
Asym,0.01075394267037369
BQI_ABS,0.00963775116219354
risk_reward_ratio,0.009265996002260964
EarL,0.00864511834452531
BQR_1000,0.008233626535886567
net_credit,0.007438473630754483
Ears_ratio,0.006960365811319995
RATIO_UEL_EARS,0.006027008355518024
