variable,n_samples,correlation,corr_pvalue,auc,mean_disastrous,mean_normal,mean_diff,t_statistic,t_pvalue,trend_slope,trend_r2,trend_pvalue,predictive_score
PnL_fwd_pts_25,6463,0.667780454694231,0.0,0.22373178893640958,-24.103499613302397,38.32090909090908,-62.42440870421148,-36.11856373736902,2.998025387762095e-222,-0.10143340326868544,0.874902012861355,0.019534839400690618,59.8331622119841
PnL_deterioration_25,6463,-0.3759916044918458,3.8209530145189035e-216,0.22146538196298773,0.924413350790563,-1.7688974601689942,2.693310810959557,28.708704609439557,2.2940735784238185e-166,0.1026396600892158,0.917503374414147,0.010316924630054588,51.59616660037733
PnLDV_fwd_25,6173,0.30268531549294814,5.780778292329348e-131,0.20912352769642337,-151.29686774942,-76.05470081967214,-75.24216692974785,-36.278063390328434,2.853842753008359e-224,-0.11483434930675399,0.924708015225202,0.008974684860248466,49.962698509183525
SPX_chg_pct_25,6463,0.5069890590341763,0.0,0.3766593216561129,1.1996406805877804,4.610532959381044,-3.4108922787932636,-15.421497832612529,1.6996991891056265e-51,-0.04724362301495426,0.7141742492795292,0.07146642392710213,47.28504139757607
theta_total,6463,0.2348355520027024,1.0913648772748797e-81,0.2982013699716222,-0.18004228924980664,-0.11189385241779497,-0.06814843683201167,-24.338973310837883,5.846532898684571e-117,-0.07727612842670345,0.9337345751946622,0.007388941225431511,44.454357513162805
PnLDV,6463,0.17064278302482422,2.0058644792177856e-43,0.29520158388944484,-134.51358855375096,-92.62574854932302,-41.88784000442794,-24.66685626523252,2.928325295521293e-118,-0.07835481121255439,0.9745194490762111,0.001739622459234974,43.056414625929044
iv_skew,6463,0.2830754136827124,2.2900227038026798e-119,0.36312430719796074,1.0171583507963218,1.0352943723600743,-0.01813602156375249,-19.488250705765697,1.3356685406582988e-80,-0.0505859127140904,0.8276498537899252,0.03210092386323932,42.243788660462194
PnLDV_deterioration_25,6173,0.12149654209310815,9.764251957622771e-22,0.28601351222851923,-1.6609937550119727,-0.39676002547428446,-1.2642337295376882,-7.794169501611712,1.1407066433927633e-14,-0.08300743443198447,0.9910232509311994,0.00036194378840779173,42.11458828296447
risk_reward_ratio,6463,0.16803392759305458,3.84718446545336e-42,0.33302921100225735,-19.727455674153344,-15.213647927390287,-4.513807746763057,-21.416424680876386,3.5249662812618626e-93,-0.06288618878984004,0.9931586032110384,0.00024065769269177663,41.65143541981173
theta_delta_ratio,6463,0.1164979040848001,5.6791989960048476e-21,0.2912190473626027,-1.7436320075495206,-0.8000557643344429,-0.9435762432150777,-13.793887705080694,4.021506832045475e-42,-0.08161025431054092,0.9373813818328894,0.006779643164476789,41.219989046368795
